timestamp,time_s,C_air,obs_z005,obs_z020,obs_z035,obs_z050,sim_z005,sim_z020,sim_z035,sim_z050,C_surface_ppm,J_up_Robin_umol
2024-07-19 09:30:00,28800.0000,414.1546,4902.0363,6797.3571,7046.2257,6940.6123,5359.3837,6369.6644,6694.9373,6708.8734,4437.2975,1.6455
2024-07-19 09:45:00,29700.0000,415.5092,4997.7630,6837.3324,6961.6126,6709.2360,5354.5262,6363.6520,6690.3237,6710.1392,4433.5925,1.6434
2024-07-19 10:00:00,30600.0000,415.7477,4968.8644,6948.4702,6927.5582,7092.2801,5349.8679,6357.8824,6686.0443,6711.6699,4430.0107,1.6418
2024-07-19 10:15:00,31500.0000,414.7476,5072.3050,6779.4191,7027.8295,6855.9001,5345.3535,6352.3547,6682.0858,6713.4497,4426.3418,1.6407
2024-07-19 10:30:00,32400.0000,414.2520,5069.3313,6828.9317,7073.6100,7077.0522,5340.9270,6347.0694,6678.4358,6715.4636,4422.7018,1.6395
2024-07-19 10:45:00,33300.0000,415.0910,5036.0873,6706.8089,6916.6953,7120.0904,5336.6352,6342.0223,6675.0826,6717.6979,4419.3519,1.6377
2024-07-19 11:00:00,34200.0000,415.7687,4984.4067,6790.1599,6812.5966,7099.8585,5332.5384,6337.2078,6672.0151,6720.1398,4416.2194,1.6362
2024-07-19 11:15:00,35100.0000,415.4026,4849.2155,6828.0619,6961.6823,6894.5811,5328.6182,6332.6240,6669.2228,6722.7772,4413.1018,1.6351
2024-07-19 11:30:00,36000.0000,415.1502,5003.3091,6704.1330,7148.9577,7054.5489,5324.8259,6328.2706,6666.6957,6725.5989,4410.0231,1.6339
2024-07-19 11:45:00,36900.0000,415.3850,5048.5631,6840.9691,7004.6091,7124.1312,5321.1671,6324.1440,6664.4242,6728.5944,4407.1143,1.6326
2024-07-19 12:00:00,37800.0000,415.3560,5042.0802,6802.3420,7079.1288,6773.0336,5317.6646,6320.2384,6662.3995,6731.7540,4404.3234,1.6315
2024-07-19 12:15:00,38700.0000,414.9526,4970.1294,6860.6314,7120.8174,7120.0463,5314.3049,6316.5486,6660.6131,6735.0686,4401.5838,1.6305
2024-07-19 12:30:00,39600.0000,415.2272,4956.1168,6785.7926,6883.5616,6868.1311,5311.0814,6313.0704,6659.0565,6738.5294,4398.9974,1.6294
2024-07-19 12:45:00,40500.0000,415.2187,4988.5428,6839.4976,7039.5072,6905.3528,5308.0110,6309.7990,6657.7218,6742.1286,4396.5519,1.6284
2024-07-19 13:00:00,41400.0000,415.4584,4922.7376,6957.1762,6932.7381,7143.3472,5305.0958,6306.7299,6656.6010,6745.8587,4394.2249,1.6273
2024-07-19 13:15:00,42300.0000,414.9372,4958.9080,6869.0521,7028.3352,6965.7152,5302.3194,6303.8594,6655.6868,6749.7125,4391.9532,1.6266
2024-07-19 13:30:00,43200.0000,414.9640,4960.5167,6960.0179,6958.2005,6813.7443,5299.6687,6301.1833,6654.9720,6753.6835,4389.7721,1.6257
2024-07-19 13:45:00,44100.0000,414.9859,5042.3952,6850.0890,7128.1821,6903.2937,5297.1525,6298.6964,6654.4498,6757.7654,4387.7489,1.6249
2024-07-19 14:00:00,45000.0000,414.7684,4964.9396,6798.0165,6945.2794,7015.0218,5294.7764,6296.3932,6654.1134,6761.9523,4385.7931,1.6241
2024-07-19 14:15:00,45900.0000,416.3770,4986.4312,6895.5259,7028.5873,7126.1524,5292.5572,6294.2697,6653.9565,6766.2388,4384.1532,1.6228
2024-07-19 14:30:00,46800.0000,414.0757,4924.9450,6725.0512,7119.4495,7054.6180,5290.4818,6292.3227,6653.9729,6770.6194,4382.3373,1.6230
2024-07-19 14:45:00,47700.0000,414.9774,5010.5405,6783.4400,6936.3133,6989.2102,5288.4869,6290.5486,6654.1567,6775.0895,4380.6218,1.6219
2024-07-19 15:00:00,48600.0000,414.6503,5054.2228,6749.3830,6928.0597,7147.3198,5286.6112,6288.9418,6654.5022,6779.6442,4379.1542,1.6215
2024-07-19 15:15:00,49500.0000,414.6937,5006.4112,6766.5220,6963.7886,6922.8092,5284.8810,6287.4956,6655.0039,6784.2792,4377.6782,1.6209
2024-07-19 15:30:00,50400.0000,414.6926,4985.6498,6748.6058,7144.5996,7136.7840,5283.2642,6286.2059,6655.6565,6788.9903,4376.3769,1.6203
2024-07-19 15:45:00,51300.0000,415.6226,4919.5241,6887.2814,6851.4131,6973.3109,5281.7889,6285.0701,6656.4546,6793.7737,4375.2434,1.6195
2024-07-19 16:00:00,52200.0000,415.4243,4980.3471,6794.9819,6962.6503,7018.3337,5280.4585,6284.0850,6657.3931,6798.6255,4374.2029,1.6191
2024-07-19 16:15:00,53100.0000,415.3598,5067.6096,6670.7033,6975.7876,7150.4547,5279.2373,6283.2483,6658.4673,6803.5422,4373.1528,1.6187
2024-07-19 16:30:00,54000.0000,415.4890,5045.2041,6737.3250,6829.8197,7121.0936,5278.1145,6282.5567,6659.6727,6808.5205,4372.2423,1.6183
2024-07-19 16:45:00,54900.0000,415.5881,5117.0852,6829.9838,6937.1585,7042.2762,5277.1030,6282.0054,6661.0052,6813.5572,4371.4052,1.6179
2024-07-19 17:00:00,55800.0000,415.3767,4947.1614,6892.7624,7192.6166,6903.4077,5276.1956,6281.5893,6662.4605,6818.6492,4370.6282,1.6177
2024-07-19 17:15:00,56700.0000,416.0689,5110.8377,6775.5798,7076.4290,6815.8585,5275.3921,6281.3044,6664.0346,6823.7937,4369.9988,1.6172
2024-07-19 17:30:00,57600.0000,414.9360,4873.8868,6786.9793,7128.8481,6942.9671,5274.6875,6281.1469,6665.7233,6828.9880,4369.3272,1.6173
2024-07-19 17:45:00,58500.0000,415.1247,4957.5944,6834.6221,7005.1350,7173.8005,5274.0495,6281.1126,6667.5228,6834.2296,4368.6963,1.6170
2024-07-19 18:00:00,59400.0000,414.9645,4936.8188,6771.0164,6878.9708,6994.5865,5273.4946,6281.1966,6669.4292,6839.5160,4368.2203,1.6169
2024-07-19 18:15:00,60300.0000,416.5197,5064.1694,6776.3113,7055.1384,6934.3847,5273.0674,6281.3941,6671.4386,6844.8448,4367.9697,1.6161
2024-07-19 18:30:00,61200.0000,415.2968,5053.7692,6903.5299,7102.0005,7003.5108,5272.7577,6281.7028,6673.5473,6850.2139,4367.6724,1.6165
2024-07-19 18:45:00,62100.0000,414.7049,5092.2605,6674.9113,7168.5314,7101.7167,5272.4940,6282.1219,6675.7517,6855.6210,4367.2369,1.6166
2024-07-19 19:00:00,63000.0000,415.1215,5011.1764,6802.8355,7083.3512,6910.3929,5272.2771,6282.6475,6678.0484,6861.0641,4367.0441,1.6163
2024-07-19 19:15:00,63900.0000,414.3705,4966.4764,6790.5465,6905.5626,6957.6275,5272.1515,6283.2730,6680.4342,6866.5413,4366.8233,1.6166
2024-07-19 19:30:00,64800.0000,415.5234,5040.6463,6834.2468,6937.3184,7020.1881,5272.1124,6283.9941,6682.9061,6872.0506,4366.8105,1.6161
2024-07-19 19:45:00,65700.0000,415.4236,5116.6939,6810.7013,7098.5991,7003.9207,5272.1808,6284.8090,6685.4605,6877.5902,4366.8936,1.6162
2024-07-19 20:00:00,66600.0000,415.1785,4984.8127,6732.1823,6918.0367,7006.7247,5272.3347,6285.7170,6688.0944,6883.1585,4366.9180,1.6163
2024-07-19 20:15:00,67500.0000,414.2529,5108.3979,6650.4967,7015.6561,6908.3028,5272.5228,6286.7164,6690.8050,6888.7536,4366.9110,1.6166
2024-07-19 20:30:00,68400.0000,415.9756,5027.3444,6914.1639,7051.3509,6987.5851,5272.7811,6287.8034,6693.5894,6894.3740,4367.1766,1.6160
2024-07-19 20:45:00,69300.0000,414.0002,5072.9051,6787.3975,6915.4914,6961.0499,5273.1271,6288.9736,6696.4452,6900.0182,4367.3248,1.6169
2024-07-19 21:00:00,70200.0000,415.0362,5021.6372,6828.7680,7015.3078,7275.7319,5273.5135,6290.2243,6699.3699,6905.6847,4367.5175,1.6166
2024-07-19 21:15:00,71100.0000,413.8316,4961.3445,6837.7854,7001.2410,6881.2984,5273.9491,6291.5530,6702.3606,6911.3721,4367.7950,1.6172
2024-07-19 21:30:00,72000.0000,414.9304,4996.4887,6793.7993,7081.0397,6996.2774,5274.4561,6292.9558,6705.4151,6917.0790,4368.1329,1.6169
2024-07-19 21:45:00,72900.0000,414.1440,4835.0875,6849.6066,6942.3150,7103.6570,5275.0312,6294.4301,6708.5307,6922.8042,4368.5694,1.6174
2024-07-19 22:00:00,73800.0000,415.2694,4961.7094,6797.2182,7041.9052,6943.5050,5275.6812,6295.9746,6711.7049,6928.5463,4369.0598,1.6171
2024-07-19 22:15:00,74700.0000,415.3882,5071.4934,6946.4350,6950.4972,6986.2074,5276.4142,6297.5886,6714.9356,6934.3043,4369.7227,1.6173
2024-07-19 22:30:00,75600.0000,415.4757,5024.8769,6814.2642,7016.7289,6821.3989,5277.2215,6299.2716,6718.2207,6940.0768,4370.3022,1.6175
2024-07-19 22:45:00,76500.0000,414.8614,5020.7070,6867.3806,6915.5851,6961.7106,5278.0620,6301.0227,6721.5581,6945.8628,4370.8865,1.6180
2024-07-19 23:00:00,77400.0000,414.2608,5044.7574,6765.8363,7043.3803,7107.0560,5278.9171,6302.8389,6724.9464,6951.6612,4371.3894,1.6185
2024-07-19 23:15:00,78300.0000,416.3209,5005.7282,6789.7590,6899.4499,6939.2762,5279.8333,6304.7155,6728.3837,6957.4711,4372.2597,1.6180
2024-07-19 23:30:00,79200.0000,414.3604,5022.1040,6898.3847,7103.5189,6704.4819,5280.8322,6306.6492,6731.8682,6963.2914,4372.9373,1.6191
2024-07-19 23:45:00,80100.0000,413.9531,4928.9791,6896.8453,6982.4014,6937.2024,5281.8253,6308.6391,6735.3980,6969.1212,4373.4680,1.6194
2024-07-20 00:00:00,81000.0000,415.2730,4965.4605,6675.4099,6974.7680,6974.1078,5282.8385,6310.6829,6738.9713,6974.9597,4374.3637,1.6193
2024-07-20 00:15:00,81900.0000,414.8262,5063.6356,6831.1835,6819.3601,6846.2754,5283.9521,6312.7763,6742.5860,6980.8060,4375.2250,1.6198
2024-07-20 00:30:00,82800.0000,414.9142,4836.9445,6887.5814,6970.0401,6942.8994,5285.1079,6314.9184,6746.2405,6986.6594,4376.0655,1.6201
2024-07-20 00:45:00,83700.0000,414.4058,5045.8798,6740.4702,7018.8706,6998.7546,5286.2830,6317.1099,6749.9329,6992.5189,4376.9097,1.6207
2024-07-20 01:00:00,84600.0000,414.7209,4954.3948,6762.1924,6969.6424,6972.1902,5287.4922,6319.3489,6753.6616,6998.3838,4377.8077,1.6209
2024-07-20 01:15:00,85500.0000,415.4492,5076.4566,6971.0248,7107.4404,7118.7782,5288.7577,6321.6322,6757.4252,7004.2534,4378.8724,1.6210
2024-07-20 01:30:00,86400.0000,414.1277,5007.8940,6759.7855,7057.2940,7091.2364,5290.0694,6323.9588,6761.2223,7010.1268,4379.7662,1.6219
2024-07-20 01:45:00,87300.0000,414.9363,5045.3044,6701.4233,7221.5086,6923.9584,5291.3878,6326.3279,6765.0513,7016.0034,4380.7511,1.6220
2024-07-20 02:00:00,88200.0000,414.5997,4912.2139,6720.9660,6794.1842,7162.1920,5292.7454,6328.7375,6768.9109,7021.8826,4381.8168,1.6226
2024-07-20 02:15:00,89100.0000,415.0312,4851.4920,6894.9585,7099.7381,6972.8125,5294.1520,6331.1852,6772.7998,7027.7635,4382.8848,1.6229
2024-07-20 02:30:00,90000.0000,415.4292,5057.6178,6868.5933,6977.7357,7028.0444,5295.6012,6333.6702,6776.7166,7033.6457,4384.0788,1.6232
2024-07-20 02:45:00,90900.0000,415.2787,4916.3210,6878.2154,7055.6320,6962.5949,5297.0978,6336.1927,6780.6602,7039.5285,4385.2194,1.6237
2024-07-20 03:00:00,91800.0000,414.9642,5010.2228,6857.4590,7134.8809,7023.4638,5298.6092,6338.7519,6784.6292,7045.4113,4386.3342,1.6243
2024-07-20 03:15:00,92700.0000,415.3241,4890.8241,6769.8294,7025.0437,6964.0808,5300.1366,6341.3464,6788.6228,7051.2936,4387.5130,1.6246
2024-07-20 03:30:00,93600.0000,415.2015,5064.2508,6863.4175,7018.2819,6816.8066,5301.6992,6343.9734,6792.6398,7057.1749,4388.7230,1.6252
